"","Frag.ID","Parent.ID","Treatment","Species","Time.Point","Depth","Tank.num","Notes","ID","Clade","C27.C3.C21.C27a","C15.C15ci.C15n.C15cj.C15cc.C15cl.C15l","C15.C15ci.C15cj.C15cm.C15ch.C15n.C15ck","C31.C17d.C31.1.C31a.C21.C17e.C21ac","C1d.C42.2.C1.C1k.C1b","C1d.C42.2.C1","C31.C17d.C21.C31.9.C31h.C31i.C21ac","C1.C1b.C1u.C3.C1bo","C42.2.C1.C1b.C3.C1au","C31.C17d.C21.C21ac.C31a.C17e.C31.9.C17f","C1.C3.C1c.C1b.C72k.C42.2","C17d.C31.C21.C21ac.C17e.C17f.C31.9","C31.C17d.C21.C31a.C21ac.C31g","C1d.C1df.C42.2.C1","C31.C17d.C21.C21ac.C31.1.C31a","C1.C3.C1c.C1b.C1w.C42.2","C1d.C42.2.C1ag.C1k.C42ax.C42ay.C1","C1.C1c.C1b.C1al.C72k","C1.C1d.C42.2.C3.C1b.C3cg.C45c.C115k.C1au.C41p","C15.C15n","C1.C3","C15.C1.C3.C1b","C31.C17d.C31.1","C31.C17d","C1d.C31","C15h.C15","C15.C31.C17d.C21.C15cl","C31.C17d.C21.C21ac.C31.9","C1.C42.2.C3cg.C1j.C1b.C3.C1au.C45c.C115k","C15h","D4.D1.D6.D1ab.D17d.D17j.D3h","D4.D1.D6.D1ab.D3h","D1.D4.D6.D1ab"
"1","S1037",358,"Ambient","Pavona_varians","TF","4.8","9","","S1037","C1",0,0,0,0,0,0,0,0,0,0,22306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","S1061",301,"Ambient","Pocillopora_acuta","TF","4.9","5","","S1061","CCC",0,0,0,0,0,13253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","S1068",356,"High","Pavona_varians","T1","5","3","","S1068","C1",0,0,0,0,0,0,0,19051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","S1104",365,"Ambient","Montipora_capitata","TF","6.7","4","","S1104","CD",0,0,0,1099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,985,0,0
"5","S1108",362,"High","Pavona_varians","T0","6","9","","S1108","C27",24306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","S1110",321,"High","Porites_compressa","T1","1.3","3","Dup","S1110","C15cj",0,0,20775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","S1110B",321,"High","Porites_compressa","T1","1.3","3","Dup","S1110B","C15cj",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","S1133",368,"High","Montipora_capitata","T1","3.7","11","","S1133","CD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,16125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6851,0,0
"9","S1144",358,"Ambient","Pavona_varians","T1","4.8","8","","S1144","C1",0,0,0,0,0,0,0,0,0,0,14754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","S1166",354,"High","Pavona_varians","TF","4.1","2","Dup","S1166","C27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,0,0,0,0,0,0,0,0,0,0,0
"11","S1166b",354,"High","Pavona_varians","TF","4.1","2","Dup","S1166b","C27",7891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,661,0,0,0,0,0,0,0,2196
"12","S1195",304,"Ambient","Pocillopora_acuta","T1","6.4","4","","S1195","CCC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","S1226",370,"Ambient","Montipora_capitata","TF","3.7","9","","S1226","C",0,0,0,22258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,0,0
"14","S1254",362,"Ambient","Pavona_varians","T1","6","1","","S1254","C27",21003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","S1279",302,"Ambient","Pocillopora_acuta","TF","4.6","4","","S1279","CCC",0,0,0,0,0,0,0,0,0,0,0,0,0,25427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","S1388a",370,"High","Montipora_capitata","T1","3.7","7","Dup","S1388a","C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5808,0,0,0,0,0,0,0,0,0,0
"17","S1388b",370,"High","Montipora_capitata","T1","3.7","7","Dup","S1388b","C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0
"18","S1413",357,"High","Pavona_varians","TF","4.7","11","","S1413","C27",22299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","S1418",325,"Ambient","Pavona_varians","T1","2.6","4","","S1418","C1",0,0,0,0,0,0,0,18872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","S1437",367,"High","Montipora_capitata","TF","5.8","6","","S1437","C",0,0,0,20507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","S1441",325,"High","Pavona_varians","T1","2.6","7","","S1441","C1",0,0,0,0,0,0,0,17432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","S1443",308,"Ambient","Pocillopora_acuta","T1","6.7","5","","S1443","CCC",0,0,0,0,19919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","S148",356,"High","Pavona_varians","T0","5","7","","S148","C1",0,0,0,0,0,0,0,21560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","S1502",322,"High","Porites_compressa","TF","1.5","7","","S1502","C15cj",0,0,16817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","S1526",358,"High","Pavona_varians","TF","4.8","11","","S1526","C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","S153",371,"Ambient","Montipora_capitata","T1","3.4","9","","S153","C",0,0,0,19375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512,0,0
"27","S1556",355,"Ambient","Pavona_varians","TF","3.8","4","","S1556","C27",27153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","S1573",359,"Ambient","Pavona_varians","T1","2","5","","S1573","C27",16189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","S1688",362,"Ambient","Pavona_varians","TF","6","5","","S1688","C27",9420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","S1736",359,"Ambient","Pavona_varians","TF","2","9","","S1736","C27",19339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","S1753",370,"Ambient","Montipora_capitata","T0","3.7","9","","S1753","C",0,0,0,21575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","S1771",302,"High","Pocillopora_acuta","TF","4.6","2","","S1771","CCC",0,0,0,0,0,0,0,0,0,0,0,0,0,22808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","S179",369,"High","Montipora_capitata","T1","3.3","2","","S179","CD",0,0,0,0,0,0,0,0,0,0,0,11716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7475,0,0
"34","S1791",363,"High","Montipora_capitata","T1","5.4","6","","S1791","C",0,0,0,0,0,0,24148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","S1803",325,"High","Pavona_varians","TF","2.6","11","","S1803","C1",0,0,0,0,0,0,0,27214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","S1857",362,"High","Pavona_varians","T1","6","2","Dup","S1857","C27",13407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1511,0,0,0
"37","S1857b",362,"High","Pavona_varians","T1","6","2","Dup","S1857b","C27",20890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2790,0,0,0,0,0,0,0
"38","S1895",312,"Ambient","Pocillopora_acuta","T1","5.8","1","","S1895","CCC",0,0,0,0,19346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","S1943",358,"High","Pavona_varians","T1","4.8","7","","S1943","C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","S1982",351,"High","Pavona_varians","T0","4.6","3","","S1982","C27",23799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","S199",317,"Ambient","Porites_compressa","T1","2.2","4","","S199","C15cj",0,0,13909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","S2001",354,"High","Pavona_varians","T1","4.1","11","","S2001","C27",14403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","S2018",365,"High","Montipora_capitata","TF","6.7","3","","S2018","CD",0,0,0,9631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12624,0,0
"44","S208",354,"Ambient","Pavona_varians","T0","4.1","6","","S208","C27",20390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","S2136",362,"High","Pavona_varians","TF","6","11","","S2136","C27",22417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,842,0,0,0,0,0,0,0,0,236
"46","S2142",302,"High","Pocillopora_acuta","T1","4.6","3","","S2142","CCC",0,0,0,0,0,0,0,0,0,0,0,0,0,16194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","S2214",351,"Ambient","Pavona_varians","TF","4.6","8","","S2214","C27",29093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","S2226",312,"Ambient","Pocillopora_acuta","TF","5.8","8","","S2226","CCC",0,0,0,0,19616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","S226",324,"High","Porites_compressa","T1","0.8","7","","S226","C15n",0,10234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","S2284",369,"High","Montipora_capitata","TF","3.3","6","","S2284","CD",0,0,0,0,0,0,0,0,0,0,0,10531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13519,0,0
"51","S2286",315,"Ambient","Porites_compressa","T1","2.5","1","","S2286","C15n",0,18195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52","S231",359,"Ambient","Pavona_varians","T0","2","9","","S231","C27",20971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1148,0,0
"53","S2328",359,"High","Pavona_varians","TF","2","3","","S2328","C27",21356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54","S2402",306,"High","Pocillopora_acuta","T1","6.1","3","","S2402","CCC",0,0,0,0,0,19453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55","S2424",351,"Ambient","Pavona_varians","T1","4.6","1","","S2424","C27",19801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56","S249",360,"Ambient","Pavona_varians","T1","2","5","","S249","C27",19903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57","S2629",355,"High","Pavona_varians","T1","3.8","3","","S2629","C27",12715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58","S263",361,"Ambient","Pavona_varians","T0","6.8","1","","S263","C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59","S2663",355,"High","Pavona_varians","TF","3.8","7","","S2663","C27",22506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60","S2731",353,"High","Pavona_varians","TF","3.6","3","","S2731","C1",0,0,0,0,0,0,0,0,0,0,19971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61","S2736",311,"High","Pocillopora_acuta","T1","7.3","11","","S2736","C42",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62","S284",314,"Ambient","Porites_compressa","T1","2.1","4","","S284","C15cj",0,0,14257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63","S2849",360,"High","Pavona_varians","T1","2","3","","S2849","C27",6665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64","S2879",301,"High","Pocillopora_acuta","TF","4.9","7","","S2879","CCC",0,0,0,0,32086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65","S2893",311,"High","Pocillopora_acuta","TF","7.3","2","","S2893","C42",0,14738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311,0
"66","S2911",351,"High","Pavona_varians","T1","4.6","6","","S2911","C27",15757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67","S2948",351,"High","Pavona_varians","TF","4.6","7","","S2948","C27",23650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68","S3025",307,"High","Pocillopora_acuta","T1","4.9","3","","S3025","CCC",0,0,0,0,16156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69","S3035",303,"Ambient","Pocillopora_acuta","T1","4.9","9","","S3035","CCC",0,0,0,0,20565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70","S3059",301,"High","Pocillopora_acuta","T1","4.9","6","","S3059","CCC",0,0,0,0,0,51733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71","S3081",304,"Ambient","Pocillopora_acuta","TF","6.4","1","","S3081","CCC",0,0,0,0,0,18576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72","S3085",304,"High","Pocillopora_acuta","T1","6.4","2","Dup","S3085","CCC",0,0,0,0,0,52250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73","S3085b",304,"High","Pocillopora_acuta","T1","6.4","2","Dup","S3085b","CCC",0,0,0,0,0,28021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74","S3086",309,"High","Pocillopora_acuta","T1","5.5","11","","S3086","C42",0,0,0,0,0,0,0,0,25114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75","S31",320,"Ambient","Porites_compressa","T0","0.8","9","","S31","C15cj",0,0,14363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,657,0
"76","S3137",359,"High","Pavona_varians","T1","2","2","","S3137","C27",27691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"77","S314",305,"High","Pocillopora_acuta","T1","6.1","6","","S314","C42",0,0,0,0,0,0,0,0,8088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78","S3149",372,"High","Montipora_capitata","T1","5.6","9","Dup","S3149","C",0,0,0,0,0,0,0,0,0,0,0,0,20897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79","S3149b",372,"High","Montipora_capitata","T1","5.6","9","Dup","S3149b","C",0,0,0,0,0,0,0,0,0,0,0,0,13056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
