Frag.ID,Parent.ID,Treatment,Species,Time.Point,Depth,Tank.num,Notes,ID
S1110,321,High,Porites_compressa,T1,1.3,3,Dup,S1110
S1110B,321,High,Porites_compressa,T1,1.3,3,Dup,S1110B
S1166,354,High,Pavona_varians,TF,4.1,2,Dup,S1166
S1166b,354,High,Pavona_varians,TF,4.1,2,Dup,S1166b
S1388,370,High,Montipora_capitata,T1,3.7,7,Dup,S1388
S1388a,370,High,Montipora_capitata,T1,3.7,7,Dup,S1388a
S1388b,370,High,Montipora_capitata,T1,3.7,7,Dup,S1388b
S1857,362,High,Pavona_varians,T1,6,2,Dup,S1857
S1857b,362,High,Pavona_varians,T1,6,2,Dup,S1857b
S3085,304,High,Pocillopora_acuta,T1,6.4,2,Dup,S3085
S3085b,304,High,Pocillopora_acuta,T1,6.4,2,Dup,S3085b
S3149,372,High,Montipora_capitata,T1,5.6,9,Dup,S3149
S3149b,372,High,Montipora_capitata,T1,5.6,9,Dup,S3149b
S3477a,312,High,Pocillopora_acuta,T1,5.8,3,Dup,S3477a
S3477b,312,High,Pocillopora_acuta,T1,5.8,3,Dup,S3477b
S761,355,Ambient,Pavona_varians,T1,3.8,1,Dup,S761
S761b,355,Ambient,Pavona_varians,T1,3.8,1,Dup,S761b
S775b,361,High,Pavona_varians,TF,6.8,7,Dup,S775b
SN134,319,High,Porites_compressa,T1,3.1,2,Dup,SN134
SN134b,319,High,Porites_compressa,T1,3.1,2,Dup,SN134b
SN192,373,Ambient,Montipora_capitata,T1,5.3,8,Dup,SN192
SN192b,373,Ambient,Montipora_capitata,T1,5.3,8,Dup,SN192b
SN198,305,Ambient,Pocillopora_acuta,T1,6.1,9,Dup,SN198
SN198b,305,Ambient,Pocillopora_acuta,T1,6.1,9,Dup,SN198b
SN209,301,Ambient,Pocillopora_acuta,T1,4.9,4,Dup,SN209
SN209b,301,Ambient,Pocillopora_acuta,T1,4.9,4,Dup,SN209b
SN217b,361,Ambient,Pavona_varians,TF,6.8,8,Dup,SN217b
SN49,317,High,Porites_compressa,T0,2.2,2,Dup,S49
SN49b,372,Ambient,Montipora_capitata,T1,5.6,4,Dup,SN49
SN127,366,Ambient,Montipora_capitata,T1,7,9,REMOVE,SN127
S1037,358,Ambient,Pavona_varians,TF,4.8,9,,S1037
S1061,301,Ambient,Pocillopora_acuta,TF,4.9,5,,S1061
S1068,356,High,Pavona_varians,T1,5,3,,S1068
S1104,365,Ambient,Montipora_capitata,TF,6.7,4,,S1104
S1108,362,High,Pavona_varians,T0,6,9,,S1108
S1133,368,High,Montipora_capitata,T1,3.7,11,,S1133
S1144,358,Ambient,Pavona_varians,T1,4.8,8,,S1144
S1195,304,Ambient,Pocillopora_acuta,T1,6.4,4,,S1195
S1226,370,Ambient,Montipora_capitata,TF,3.7,9,,S1226
S1254,362,Ambient,Pavona_varians,T1,6,1,,S1254
S1279,302,Ambient,Pocillopora_acuta,TF,4.6,4,,S1279
S1413,357,High,Pavona_varians,TF,4.7,11,,S1413
S1418,325,Ambient,Pavona_varians,T1,2.6,4,,S1418
S1437,367,High,Montipora_capitata,TF,5.8,6,,S1437
S1441,325,High,Pavona_varians,T1,2.6,7,,S1441
S1443,308,Ambient,Pocillopora_acuta,T1,6.7,5,,S1443
S148,356,High,Pavona_varians,T0,5,7,,S148
S1502,322,High,Porites_compressa,TF,1.5,7,,S1502
S1526,358,High,Pavona_varians,TF,4.8,11,,S1526
S153,371,Ambient,Montipora_capitata,T1,3.4,9,,S153
S1556,355,Ambient,Pavona_varians,TF,3.8,4,,S1556
S1573,359,Ambient,Pavona_varians,T1,2,5,,S1573
S1688,362,Ambient,Pavona_varians,TF,6,5,,S1688
S1736,359,Ambient,Pavona_varians,TF,2,9,,S1736
S1753,370,Ambient,Montipora_capitata,T0,3.7,9,,S1753
S1771,302,High,Pocillopora_acuta,TF,4.6,2,,S1771
S179,369,High,Montipora_capitata,T1,3.3,2,,S179
S1791,363,High,Montipora_capitata,T1,5.4,6,,S1791
S1803,325,High,Pavona_varians,TF,2.6,11,,S1803
S1895,312,Ambient,Pocillopora_acuta,T1,5.8,1,,S1895
S1943,358,High,Pavona_varians,T1,4.8,7,,S1943
S1982,351,High,Pavona_varians,T0,4.6,3,,S1982
S199,317,Ambient,Porites_compressa,T1,2.2,4,,S199
S2001,354,High,Pavona_varians,T1,4.1,11,,S2001
S2018,365,High,Montipora_capitata,TF,6.7,3,,S2018
S208,354,Ambient,Pavona_varians,T0,4.1,6,,S208
S2136,362,High,Pavona_varians,TF,6,11,,S2136
S2142,302,High,Pocillopora_acuta,T1,4.6,3,,S2142
S2214,351,Ambient,Pavona_varians,TF,4.6,8,,S2214
S2226,312,Ambient,Pocillopora_acuta,TF,5.8,8,,S2226
S226,324,High,Porites_compressa,T1,0.8,7,,S226
S2284,369,High,Montipora_capitata,TF,3.3,6,,S2284
S2286,315,Ambient,Porites_compressa,T1,2.5,1,,S2286
S231,359,Ambient,Pavona_varians,T0,2,9,,S231
S2328,359,High,Pavona_varians,TF,2,3,,S2328
S2402,306,High,Pocillopora_acuta,T1,6.1,3,,S2402
S2424,351,Ambient,Pavona_varians,T1,4.6,1,,S2424
S249,360,Ambient,Pavona_varians,T1,2,5,,S249
S2629,355,High,Pavona_varians,T1,3.8,3,,S2629
S263,361,Ambient,Pavona_varians,T0,6.8,1,,S263
S2663,355,High,Pavona_varians,TF,3.8,7,,S2663
S2731,353,High,Pavona_varians,TF,3.6,3,,S2731
S2736,311,High,Pocillopora_acuta,T1,7.3,11,,S2736
S284,314,Ambient,Porites_compressa,T1,2.1,4,,S284
S2849,360,High,Pavona_varians,T1,2,3,,S2849
S2879,301,High,Pocillopora_acuta,TF,4.9,7,,S2879
S2893,311,High,Pocillopora_acuta,TF,7.3,2,,S2893
S2911,351,High,Pavona_varians,T1,4.6,6,,S2911
S2948,351,High,Pavona_varians,TF,4.6,7,,S2948
S3025,307,High,Pocillopora_acuta,T1,4.9,3,,S3025
S3035,303,Ambient,Pocillopora_acuta,T1,4.9,9,,S3035
S3059,301,High,Pocillopora_acuta,T1,4.9,6,,S3059
S3081,304,Ambient,Pocillopora_acuta,TF,6.4,1,,S3081
S3086,309,High,Pocillopora_acuta,T1,5.5,11,,S3086
S31,320,Ambient,Porites_compressa,T0,0.8,9,,S31
S3137,359,High,Pavona_varians,T1,2,2,,S3137
S314,305,High,Pocillopora_acuta,T1,6.1,6,,S314
S3164,303,Ambient,Pocillopora_acuta,TF,4.9,8,,S3164
S3204,370,High,Montipora_capitata,TF,3.7,11,,S3204
S3246,353,High,Pavona_varians,T1,3.6,2,,S3246
S3317,372,Ambient,Montipora_capitata,TF,5.6,1,,S3317
S3337,315,Ambient,Porites_compressa,TF,2.5,5,,S3337
S3340,317,High,Porites_compressa,T1,2.2,2,,S3340
S335,363,High,Montipora_capitata,TF,5.4,11,,S335
S3383,356,High,Pavona_varians,TF,5,6,,S3383
S3422,373,High,Montipora_capitata,TF,5.3,7,,S3422
S3442,318,Ambient,Porites_compressa,TF,2.1,8,,S3442
S3444,315,High,Porites_compressa,TF,2.5,11,,S3444
S3458,320,High,Porites_compressa,T1,0.8,6,,S3458
S3467,323,High,Porites_compressa,TF,1,7,,S3467
S3468,323,High,Porites_compressa,T1,1,3,,S3468
S3469,374,High,Montipora_capitata,T1,3.2,6,,S3469
S3470,364,High,Montipora_capitata,TF,6,2,,S3470
S3471,313,High,Porites_compressa,TF,5.8,11,,S3471
S3472,372,High,Montipora_capitata,T1,5.6,3,,S3472
S3473,372,High,Montipora_capitata,TF,5.6,6,,S3473
S3474,360,High,Pavona_varians,TF,2,6,,S3474
S3475,313,High,Porites_compressa,T1,5.8,6,,S3475
S3476,319,High,Porites_compressa,TF,3.1,11,,S3476
S3478,361,High,Pavona_varians,T1,6.8,6,,S3478
S3479,367,High,Montipora_capitata,T1,5.8,3,,S3479
S3480,314,High,Porites_compressa,TF,2.1,3,,S3480
S3481,312,High,Pocillopora_acuta,TF,5.8,7,,S3481
S3482,373,High,Montipora_capitata,T1,5.3,3,,S3482
S3484,304,High,Pocillopora_acuta,TF,6.4,3,,S3484
S3485,320,High,Porites_compressa,TF,0.8,7,,S3485
S3486,306,High,Pocillopora_acuta,TF,6.1,6,,S3486
S3487,303,High,Pocillopora_acuta,TF,4.9,6,,S3487
S3488,315,High,Porites_compressa,T1,2.5,6,,S3488
S3489,307,High,Pocillopora_acuta,TF,4.9,7,,S3489
S3490,308,High,Pocillopora_acuta,T1,6.7,11,,S3490
S3491,321,High,Porites_compressa,TF,1.3,7,,S3491
S3512,310,High,Pocillopora_acuta,T1,4,7,,S3512
S3513,303,High,Pocillopora_acuta,T1,4.9,2,,S3513
S3514,314,High,Porites_compressa,T1,2.1,2,,S3514
S3515,308,High,Pocillopora_acuta,TF,6.7,2,,S3515
S3516,309,High,Pocillopora_acuta,TF,5.5,6,,S3516
S3517,317,High,Porites_compressa,TF,2.2,3,,S3517
S377,373,Ambient,Montipora_capitata,TF,5.3,5,,S377
S391,357,Ambient,Pavona_varians,T0,4.7,9,,S391
S403,309,Ambient,Pocillopora_acuta,TF,5.5,9,,S403
S419,370,Ambient,Montipora_capitata,T1,3.7,5,,S419
S420,354,Ambient,Pavona_varians,TF,4.1,4,,S420
S422,357,Ambient,Pavona_varians,TF,4.7,8,,S422
S431,306,Ambient,Pocillopora_acuta,T1,6.1,8,,S431
S436,357,Ambient,Pavona_varians,T1,4.7,4,,S436
S471,356,Ambient,Pavona_varians,TF,5,9,,S471
S473,305,High,Pocillopora_acuta,TF,6.1,7,,S473
S477,310,High,Pocillopora_acuta,TF,4,11,,S477
S488,358,Ambient,Pavona_varians,T0,4.8,5,,S488
S490,357,High,Pavona_varians,T1,4.7,2,,S490
S554,354,Ambient,Pavona_varians,T1,4.1,1,,S554
S579,323,Ambient,Porites_compressa,TF,1,9,,S579
S616,355,High,Pavona_varians,T0,3.8,2,,S616
S619,368,High,Montipora_capitata,TF,3.7,2,,S619
S634,318,High,Porites_compressa,T1,2.1,2,,S634
S650,320,Ambient,Porites_compressa,T1,0.8,5,,S650
S664,361,Ambient,Pavona_varians,T1,6.8,5,,S664
S670,371,High,Montipora_capitata,T1,3.4,7,,S670
S74,314,High,Porites_compressa,T0,2.1,3,,S74
S755,312,High,Pocillopora_acuta,T0,5.8,5,,S755
S779,306,Ambient,Pocillopora_acuta,TF,6.1,9,,S779
S785,302,Ambient,Pocillopora_acuta,T1,4.6,1,,S785
S797,365,Ambient,Montipora_capitata,T1,6.7,1,,S797
S809,323,Ambient,Porites_compressa,T1,1,8,,S809
S832,360,Ambient,Pavona_varians,TF,2,1,,S832
S840,371,High,Montipora_capitata,TF,3.4,4,,S840
S848,367,Ambient,Montipora_capitata,T1,5.8,5,,S848
S914,325,High,Pavona_varians,T0,2.6,11,,S914
S915,304,High,Pocillopora_acuta,T0,6.4,6,,S915
S946,316,High,Porites_compressa,T1,2,3,,S946
S955,325,Ambient,Pavona_varians,TF,2.6,9,,S955
S972,316,High,Porites_compressa,TF,2,11,,S972
SN102,311,Ambient,Pocillopora_acuta,TF,7.3,5,,SN102
SN104,310,Ambient,Pocillopora_acuta,T1,4,8,,SN104
SN105,321,Ambient,Porites_compressa,TF,1.3,8,,SN105
SN107,315,High,Porites_compressa,T0,2.5,6,,SN107
SN108,353,Ambient,Pavona_varians,T1,3.6,9,,SN108
SN109,302,High,Pocillopora_acuta,T0,4.6,2,,SN109
SN11,369,Ambient,Montipora_capitata,T0,3.3,1,,SN11
SN110,369,Ambient,Montipora_capitata,TF,3.3,4,,SN110
SN111,303,High,Pocillopora_acuta,T0,4.9,2,,SN111
SN115,322,Ambient,Porites_compressa,TF,1.5,4,,SN115
SN117,319,Ambient,Porites_compressa,T1,3.1,1,,SN117
SN122,319,Ambient,Porites_compressa,TF,3.1,4,,SN122
SN124,318,Ambient,Porites_compressa,T1,2.1,5,,SN124
SN126,366,Ambient,Montipora_capitata,T1,7,4,,SN126
SN131,324,Ambient,Porites_compressa,TF,0.8,9,,SN131
SN132,308,Ambient,Pocillopora_acuta,TF,6.7,9,,SN132
SN138,324,High,Porites_compressa,TF,0.8,11,,SN138
SN141,366,High,Montipora_capitata,TF,7,3,,SN141
SN145,374,Ambient,Montipora_capitata,T0,3.2,4,,SN145
SN149,321,Ambient,Porites_compressa,T1,1.3,5,,SN149
SN150,364,High,Montipora_capitata,T1,6,11,,SN150
SN152,374,Ambient,Montipora_capitata,TF,3.2,8,,SN152
SN157,322,High,Porites_compressa,T1,1.5,6,,SN157
SN158,307,Ambient,Pocillopora_acuta,TF,4.9,5,,SN158
SN161,313,Ambient,Porites_compressa,T1,5.8,1,,SN161
SN169,305,Ambient,Pocillopora_acuta,TF,6.1,5,,SN169
SN170,307,Ambient,Pocillopora_acuta,T1,4.9,1,,SN170
SN172,374,Ambient,Montipora_capitata,T1,3.2,5,,SN172
SN18,301,High,Pocillopora_acuta,T0,4.9,3,,SN18
SN181,316,Ambient,Porites_compressa,T1,2,9,,SN181
SN183,363,Ambient,Montipora_capitata,TF,5.4,1,,SN183
SN184,363,Ambient,Montipora_capitata,T1,5.4,9,,SN184
SN189,313,Ambient,Porites_compressa,TF,5.8,4,,SN189
SN19,319,Ambient,Porites_compressa,T0,3.1,5,,SN19
SN190,366,High,Montipora_capitata,T1,7,2,,SN190
SN191,353,Ambient,Pavona_varians,TF,3.6,4,,SN191
SN197,309,Ambient,Pocillopora_acuta,T1,5.5,8,,SN197
SN2,306,Ambient,Pocillopora_acuta,T0,6.1,11,,SN2
SN205,320,Ambient,Porites_compressa,TF,0.8,5,,SN205
SN208,367,Ambient,Montipora_capitata,TF,5.8,8,,SN208
SN21,372,Ambient,Montipora_capitata,T0,5.6,1,,SN21
SN211,316,Ambient,Porites_compressa,TF,2,8,,SN211
SN223,371,Ambient,Montipora_capitata,TF,3.4,8,,SN223
SN25,323,Ambient,Porites_compressa,T0,1,4,,SN25
SN3,322,Ambient,Porites_compressa,T0,1.5,8,,SN3
SN30,307,Ambient,Pocillopora_acuta,T0,4.9,4,,SN30
SN33,364,High,Montipora_capitata,T0,6,7,,SN33
SN35,353,Ambient,Pavona_varians,T0,3.6,11,,SN35
SN37,322,Ambient,Porites_compressa,T1,1.5,1,,SN37
SN38,371,Ambient,Montipora_capitata,T0,3.4,8,,SN38
SN4,308,Ambient,Pocillopora_acuta,T0,6.7,9,,SN4
SN40,365,High,Montipora_capitata,T0,6.7,3,,SN40
SN42,364,Ambient,Montipora_capitata,TF,6,5,,SN42
SN45,369,Ambient,Montipora_capitata,T1,3.3,1,,SN45
SN47,316,High,Porites_compressa,T0,2,6,,SN47
SN50,324,Ambient,Porites_compressa,T0,0.8,5,,SN50
SN55,318,High,Porites_compressa,TF,2.1,6,,SN55
SN56,309,Ambient,Pocillopora_acuta,T0,5.5,1,,SN56
SN6,310,Ambient,Pocillopora_acuta,T0,4,8,,SN6
SN60,318,High,Porites_compressa,T0,2.1,7,,SN60
SN63,364,Ambient,Montipora_capitata,T1,6,4,,SN63
SN64,360,High,Pavona_varians,T0,2,8,,SN84
SN7,321,Ambient,Porites_compressa,T0,1.3,1,,SN7
SN70,313,High,Porites_compressa,T0,5.8,11,,SN70
SN72,368,High,Montipora_capitata,T0,3.7,7,,SN72
SN77,314,Ambient,Porites_compressa,TF,2.1,1,,SN77
SN78,324,Ambient,Porites_compressa,T1,0.8,8,,SN78
SN82,373,Ambient,Montipora_capitata,T0,5.3,5,,SN82
SN84,366,High,Montipora_capitata,T0,7,6,,SN64
SN85,311,Ambient,Pocillopora_acuta,T0,7.3,4,,SN85
SN87,305,High,Pocillopora_acuta,T0,6.1,3,,SN87
SN89,311,Ambient,Pocillopora_acuta,T1,7.3,4,,SN89
SN9,363,High,Montipora_capitata,T0,5.4,11,,SN9
SN92,368,Ambient,Montipora_capitata,T1,3.7,8,,SN92
SN94,367,High,Montipora_capitata,T0,5.8,2,,SN94
SN96,368,Ambient,Montipora_capitata,TF,3.7,9,,SN96
SN98,317,Ambient,Porites_compressa,TF,2.2,9,,SN98
SN98b,317,Ambient,Porites_compressa,TF,2.2,9,,SN98b
NS63,100,No,No,No,No,No,No,No