Frag.ID,Rep1,Rep2
3317,1.978688333,2.151693333
1556,1.935575,2.070388333
1037,0.426035,0.475245
N183,5.488863333,6.028573333
2849,0.367453333,0.397125
403,3.126216667,3.597225
1688,7.030181667,5.514141667
779,1.682705,0.02222
2142,3.307421667,0.784086667
N158,1.269341667,-1.833736667
471,0.413218333,0.446548333
N222,1.563688333,1.710023333
848,8.675796667,9.48556
3081,1.126268333,1.236195
1279,1.183921667,0.88497
N191,0.398453333,0.444353333
N208,6.077678333,6.263315
N104,0.45764,0.519486667
N209,0.597911667,0.735331667
1254,1.531226667,1.606665
N126,0.857891667,0.934838333
153,14.57034833,15.71499667
1418,0.457125,0.566105
3340,4.690956667,5.22227
1573,1.085028333,1.139908333
N161,5.939968333,6.483046667
N198,2.534248333,2.750763333
840,1.15591,1.248066667
955,1.293696667,1.397938333
3487,0.915056667,0.958918333
419,17.92625167,18.739475
N192,7.831208333,8.540113333
N131,15.26592333,16.311755
579,12.48493833,13.44186
N98,14.68194167,15.69218833
761,12.11410167,13.01398
N124,12.26875667,13.30411833
N77,8.938916667,9.605881667
N105,6.272033333,6.303961667
N181,11.16623,12.1385
3442,8.968911667,9.639381667
650,12.63362,13.42854
N115,6.083438333,6.484601667
3468,11.08328167,11.82762
199,17.296475,18.37803