Frag.ID,ug chla/ml
N30,0.410761667
N184,3.06864
N37,8.9641075
3035,0.542499167
N96,3.763760833
3475,2.376376667
436,1.601628334
N111,2.3300325
N25,17.14331667
N4,0.729205
N85,0.8444725
N49,26.77100917
N11,2.001655
N82,9.740540832
N56,1.7974625
N145,13.17821833
263,1.132501667
249,3.8554225
N172,1.8468475
428,0.05584
785,2.770629167
797,2.3716525
3149,1.344429167
616,13.05828167
N87,3.119215
N50,12.2600675
N35,3.132389167
391,2.3186175
N72,13.9311525
N89,0.6365075
664,2.620858334
1240,1.288003334
N3,9.4539525
1753,7.4977275
N94,11.81547
1108,8.577341667
74,11.29260917
N38,10.60686667
N70,9.716803332
N6,6.143585834
N40,1.476605834
755,0.919225
N78,16.9064575
N184,1.806240834
N109,1.89874