Date,Frag.ID,Low.Sig,REMOVE
13-Apr-17,473,Yes,
27-Apr-17,473,Yes,
27-Apr-17,473,Yes,
20-Apr-17,477,Yes,
27-Apr-17,477,Yes,
4-May-17,477,Yes,
11-May-17,477,Yes,
17-May-17,477,Yes,
11-May-17,478,Yes,REMOVE
20-Apr-17,617,Yes,REMOVE
27-Apr-17,617,Yes,REMOVE
13-Apr-17,706,Yes,REMOVE
11-May-17,706,Yes,REMOVE
13-Apr-17,779,Yes,
20-Apr-17,779,Yes,
27-Apr-17,779,Yes,
4-May-17,779,Yes,
11-May-17,779,Yes,
17-May-17,779,Yes,
13-Apr-17,1013,Yes,REMOVE
20-Apr-17,1013,Yes,REMOVE
4-May-17,1013,Yes,REMOVE
11-May-17,1013,Yes,REMOVE
20-Apr-17,1107,Yes,
27-Apr-17,1107,Yes,
4-May-17,1107,Yes,
11-May-17,1107,Yes,
20-Apr-17,1166,Yes,
4-May-17,1166,Yes,
11-May-17,1166,Yes,
17-May-17,1166,Yes,
20-Apr-17,1279,Yes,
20-Apr-17,1284,Yes,REMOVE
27-Apr-17,1284,Yes,REMOVE
4-May-17,1284,Yes,REMOVE
11-May-17,1284,Yes,REMOVE
17-May-17,1284,Yes,REMOVE
20-Apr-17,1330,Yes,REMOVE
27-Apr-17,1330,Yes,REMOVE
4-May-17,1330,Yes,REMOVE
11-May-17,1330,Yes,REMOVE
17-May-17,1330,Yes,REMOVE
11-May-17,1412,Yes,REMOVE
20-Apr-17,1771,Yes,
27-Apr-17,1771,Yes,
17-May-17,1771,Yes,
13-Apr-17,2136,Yes,
11-May-17,2136,Yes,
17-May-17,2136,Yes,
13-Apr-17,2736,Yes,
20-Apr-17,2879,Yes,
27-Apr-17,2879,Yes,
4-May-17,2879,Yes,
11-May-17,2879,Yes,
13-Apr-17,2893,Yes,
20-Apr-17,2893,Yes,
27-Apr-17,2893,Yes,
11-May-17,2893,Yes,
17-May-17,2893,Yes,
13-Apr-17,3059,Yes,
20-Apr-17,3075,Yes,REMOVE
13-Apr-17,3086,Yes,
13-Apr-17,3164,Yes,
27-Apr-17,3476,Yes,
4-May-17,3476,Yes,
11-May-17,3476,Yes,
17-May-17,3476,Yes,
13-Apr-17,3481,Yes,
20-Apr-17,3481,Yes,
27-Apr-17,3481,Yes,
4-May-17,3481,Yes,
11-May-17,3481,Yes,
17-May-17,3481,Yes,
27-Apr-17,3484,Yes,
13-Apr-17,3486,Yes,
4-May-17,3486,Yes,
11-May-17,3486,Yes,
20-Apr-17,3487,Yes,
27-Apr-17,3487,Yes,
11-May-17,3487,Yes,
4-May-17,3489,Yes,
13-Apr-17,3515,Yes,
20-Apr-17,3515,Yes,
27-Apr-17,3515,Yes,
4-May-17,3515,Yes,
13-Apr-17,3516,Yes,
20-Apr-17,3516,Yes,
11-May-17,3516,Yes,
13-Apr-17,3675,Yes,REMOVE
27-Apr-17,3675,Yes,REMOVE
4-May-17,3675,Yes,REMOVE
11-May-17,3675,Yes,REMOVE
13-Apr-17,N134,Yes,
11-May-17,N158,Yes,
13-Apr-17,N170,Yes,
13-Apr-17,N98,Yes,
27-Apr-17,1166,Yes,
20-Apr-17,3486,Yes,
20-Apr-17,473,Yes,
27-Apr-17,3486,Yes,
27-Apr-17,3489,Yes,
27-Apr-17,3516,Yes,
4-May-17,1771,Yes,
4-May-17,2893,Yes,
4-May-17,3516,Yes,
4-May-17,473,Yes,
11-May-17,1771,Yes,
11-May-17,3484,Yes,
11-May-17,3489,Yes,
11-May-17,3515,Yes,
11-May-17,473,Yes,
17-May-17,3516,Yes,
17-May-17,473,Yes,