date,Frag.ID,Tube #,mg prot/ml
20190205,31,8,2.376484349
20190109,74,23,4.32326702
20190205,148,15,2.026597503
20181022,179,17,0.703145463
20181217,199,15,6.480534801
20190122,208,12,2.947735534
20181022,226,18,2.688763483
20190205,231,12,3.392071605
20190109,249,15,1.882066695
20181217,263,18,0.92767073
20181015,284,20,5.487101523
20181022,314,23,0.379765221
20190122,335,21,1.711366539
20190506,377,7,1.965408805
20190122,391,8,1.696630317
20190109,403,3,2.185487334
20181113,420,10,2.269152714
20181212,422,17,0.235828375
20190109,428,13,0.913028959
20181022,431,3,1.247470057
20181212,471,18,1.765580958
20190205,473,22,0.279655199
20190506,473,3,1.814268868
20181126,477,16,0.232131317
20190205,488,2,3.25908409
20181212,490,2,1.599436267
20181022,554,5,1.598923733
20181217,579,12,5.515794993
20190122,616,4,5.116416151
20190205,619,24,2.098812521
20190506,634,22,1.062794811
20190109,664,7,3.190687467
20181022,670,19,0.761006739
20190122,755,10,1.079870321
20190205,775,25,0.715538943
20181217,779,8,0.542089396
20190109,785,12,2.911597729
20190109,797,10,1.016411431
20181015,809,8,5.394435194
20181126,832,25,1.232622463
20181217,840,5,0.743478831
20181212,848,23,2.071197411
20190122,914,19,0.387022301
20190109,915,16,3.649396498
20181022,946,13,3.43691216
20190205,955,1,4.713555573
20181022,972,6,2.508274401
20181217,1037,3,0.655079303
20190205,1061,3,4.813995474
20181113,1068,18,4.236174531
20181126,1104,20,1.079488174
20190109,1108,22,6.81646868
20181022,1110,16,1.140795771
20181015,1133,24,1.525615966
20181022,1144,10,0.461342477
20181217,1166,2,0.404535326
20181212,1195,15,1.001618123
20190506,1226,9,1.172366352
20190109,1240,6,2.439530557
20181217,1254,14,2.339494036
20181217,1279,1,1.307956482
20181113,1388,22,1.615423643
20190506,1413,25,1.877211085
20190506,1437,24,1.017590409
20181126,1441,1,3.280341218
20181015,1443,19,0.870339535
20181126,1502,19,5.447072509
20190109,1688,2,3.537999141
20190506,1736,4,5.458431604
20190109,1753,20,1.741329135
20190506,1771,19,0.26120283
20181022,1791,9,0.790294545
20181126,1803,14,3.413984749
20181126,1857,6,2.578001809
20181113,1895,1,1.789548453
20181113,1943,2,2.80492136
20190205,1982,16,1.025046406
20181113,2001,9,1.113952308
20190205,2018,6,0.751646452
20181212,2136,3,2.964557887
20181212,2142,20,2.992483558
20181212,2214,12,3.714636183
20181126,2226,15,0.985756753
20181113,2284,17,1.720446474
20181126,2285,11,0.453664211
20181015,2286,7,2.093438548
20190506,2328,6,1.064465409
20181015,2402,16,0.39074302
20181015,2424,6,5.038490311
20181126,2629,10,0.959906941
20190506,2663,8,3.873820755
20181126,2736,4,1.504355693
20190205,2879,21,0.665395276
20181212,2893,11,0.807599958
20181113,2911,4,1.836631152
20190506,2948,1,2.215998428
20181126,3025,8,0.989944423
20181126,3059,7,1.870233941
20181212,3081,16,2.434492118
20181212,3085,1,1.010387306
20181113,3086,14,0.94789447
20181126,3137,5,2.779630348
20190109,3149,11,0.44391966
20181212,3164,13,0.681177576
20190205,3185,18,3.865029115
20181126,3204,21,1.860152514
20181126,3246,2,1.055706346
20181212,3317,9,0.596617601
20190506,3337,14,3.674331761
20190506,3383,2,0.31537441
20190122,3422,24,2.389723941
20181212,3442,10,7.302432404
20190122,3444,17,4.832498281
20181015,3458,13,2.357682377
20190506,3467,13,5.511988994
20181212,3468,25,4.789644013
20181022,3469,24,3.605495631
20190122,3470,25,2.194223401
20181022,3471,4,1.341810129
20181015,3473,18,1.105721663
20190506,3474,18,1.411163522
20181126,3476,3,3.176424971
20181113,3477,19,0.713089802
20181113,3478,25,2.425672248
20181022,3479,22,0.86077577
20190205,3480,5,1.925140489
20181113,3481,13,0.00187722
20181015,3482,25,0.990612708
20190506,3484,10,0.858294025
20190506,3486,11,0.994988208
20181217,3487,7,0.916240661
20181015,3488,21,2.586935013
20190122,3489,18,0.98005698
20181022,3490,21,0.302593042
20190506,3491,23,1.010711478
20181113,3512,24,0.507077626
20181015,3513,17,0.463910809
20181022,3514,14,2.851632259
20190506,3515,12,0.094413325
20181126,3516,13,0.186764896
20190506,3517,20,6.195459906
20190506,N102,21,0.740566038
20181015,N106,5,0.971741596
20190122,N107,11,2.77728657
20181217,N109,21,2.006553939
20190109,N11,5,0.515004055
20181126,N110,22,1.004265219
20181217,N111,16,1.420055053
20181212,N115,19,3.504541184
20181015,N117,2,7.114553923
20181126,N122,17,3.654646504
20181217,N131,9,5.740201861
20181015,N134,11,3.185646372
20181212,N138,5,2.755506838
20190205,N141,17,0.627507819
20181217,N145,19,3.476209202
20181015,N149,9,1.543714858
20181022,N150,7,0.621901564
20181022,N152,11,2.369693073
20181022,N157,20,1.987284806
20181212,N158,24,2.044576678
20190205,N169,7,0.258880667
20181113,N170,3,1.408625063
20190109,N172,14,1.09775297
20190109,N18,18,2.392061447
20181212,N183,21,1.761666145
20181217,N189,4,1.543321536
20190205,N19,13,4.049635111
20181015,N190,12,1.623832621
20181212,N191,7,0.9663848
20181022,N197,1,1.603447865
20181015,N198,4,3.266005454
20190122,N2,14,0.645839473
20190205,N205,20,3.970808859
20181212,N208,6,1.725127884
20190109,N21,17,0.569390773
20181126,N211,23,4.432725863
20181113,N217,12,2.220700152
20181212,N217,14,1.818822424
20181212,N222,22,3.11932352
20181126,N223,24,0.78893628
20181217,N25,23,8.73823568
20190109,N3,19,3.362912075
20181217,N30,17,0.73063311
20190205,N33,9,0.527830752
20190122,N35,7,1.283033697
20190109,N38,24,2.126806927
20190109,N4,4,0.751347741
20190122,N40,3,0.287798408
20181113,N42,15,3.035514967
20181015,N45,10,1.741596081
20190205,N47,14,6.082843848
20181022,N49,12,1.689168274
20181217,N49,24,9.077991873
20190122,N50,6,2.575400334
20190506,N55,16,4.450668239
20181217,N56,20,1.604823699
20190122,N6,2,4.309608017
20190122,N60,20,1.89630612
20181113,N63,5,1.356925419
20190205,N64,11,0.465024029
20190122,N7,16,3.553394243
20190109,N70,25,2.289012929
20190122,N72,9,2.640239709
20190109,N78,9,4.510758075
20181217,N82,22,1.750163848
20190205,N84,10,4.889770387
20181217,N85,25,0.921745969
20190122,N87,5,2.53855978
20190109,N89,8,1.036066982
20190122,N9,15,0.439876216
20181015,N92,22,1.141436811
20190109,N94,21,1.769953724
20181009,761,1,0.702602035
,N126,2,0.323287168
,419,3,0.52811877
,N98,4,0.833412024
,N192,5,0.217474557
,153,6,0.4919211
,N181,7,0.522033365
,1418,8,0.510256007
,N104,9,0.470963173
,3340,10,0.367537509
,N209,11,1.077667611
,1573,12,0.460471094
,3035,13,0.266525024
,N124,14,0.460077641
,N161,15,0.349779666
,N184,16,0.462176057
,N37,17,0.34899276
,436,18,0.968733606
,3475,19,0.544696254
,N96,20,0.166194523
,N77,21,0.540761725
,2849,22,0.649118665
,N105,23,0.244098206
,N183,24,0.166928969
,1556,25,1.257947749