sample_name,Time.Point,Sample.ID,Dups,Type,Parent.ID,Species
S302bTC,TC,S302,yes,field,302,Pocillopora_acuta
S303TC,TC,S303,,field,303,Pocillopora_acuta
S304TF,TF,S304,,field,304,Pocillopora_acuta
S306T1,T1,S306,,field,306,Pocillopora_acuta
S306TF,TF,S306,,field,306,Pocillopora_acuta
S306TFb,TF,S306,yes,field,306,Pocillopora_acuta
S308T1,T1,S308,,field,308,Pocillopora_acuta
S308TF,TF,S308,,field,308,Pocillopora_acuta
S310TF,TF,S310,,field,310,Pocillopora_acuta
S311TF,TF,S311,,field,311,Pocillopora_acuta
S312TF,TF,S312,,field,312,Pocillopora_acuta
S313T1,T1,S313,,field,313,Porites_compressa
S313TF,TF,S313,,field,313,Porites_compressa
S314TC,TC,S314,,field,314,Porites_compressa
S314TF,TF,S314,,field,314,Porites_compressa
S315TF,TF,S315,,field,315,Porites_compressa
S316T1,T1,S316,,field,316,Porites_compressa
S316TC,TC,S316,,field,316,Porites_compressa
S316TF,TF,S316,,field,316,Porites_compressa
S317TC,TC,S317,,field,317,Porites_compressa
S317TF,TF,S317,,field,317,Porites_compressa
S318T1,T1,S318,,field,318,Porites_compressa
S318TC,TC,S318,,field,318,Porites_compressa
S318TF,TF,S318,,field,318,Porites_compressa
S319T1,T1,S319,,field,319,Porites_compressa
S319TC,TC,S319,,field,319,Porites_compressa
S319TF,TF,S319,,field,319,Porites_compressa
S320TC,TC,S320,,field,320,Porites_compressa
S321T1,T1,S321,,field,321,Porites_compressa
S321TC,TC,S321,,field,321,Porites_compressa
S321TF,TF,S321,,field,321,Porites_compressa
S322T1,T1,S322,,field,322,Porites_compressa
S322TC,TC,S322,,field,322,Porites_compressa
S322TF,TF,S322,,field,322,Porites_compressa
S323T1,T1,S323,,field,323,Porites_compressa
S323TC,TC,S323,,field,323,Porites_compressa
S323TF,TF,S323,,field,323,Porites_compressa
S324T1,T1,S324,,field,324,Porites_compressa
S324TC,TC,S324,,field,324,Porites_compressa
S325T1,T1,S325,,field,325,Pavona_varians
S351TF,TF,S351,,field,351,Pavona_varians
S353bTC,TC,S353,yes,field,353,Pavona_varians
S353T1,T1,S353,,field,353,Pavona_varians
S353TF,TF,S353,,field,353,Pavona_varians
S354T1,T1,S354,,field,354,Pavona_varians
S354TC,TC,S354,,field,354,Pavona_varians
S354TF,TF,S354,,field,354,Pavona_varians
S355T1,T1,S355,,field,355,Pavona_varians
S355TC,TC,S355,,field,355,Pavona_varians
S355TF,TF,S355,,field,355,Pavona_varians
S356TF,TF,S356,,field,356,Pavona_varians
S357T1,T1,S357,,field,357,Pavona_varians
S357TC,TC,S357,,field,357,Pavona_varians
S357TF,TF,S357,,field,357,Pavona_varians
S358TF,TF,S358,,field,358,Pavona_varians
S359T1,T1,S359,,field,359,Pavona_varians
S359TC,TC,S359,,field,359,Pavona_varians
S361T1,T1,S361,,field,361,Pavona_varians
S361TC,TC,S361,,field,361,Pavona_varians
S361TF,TF,S361,,field,361,Pavona_varians
S362T1,T1,S362,,field,362,Pavona_varians
S362TC,TC,S362,,field,362,Pavona_varians
S362TF,TF,S362,,field,362,Pavona_varians
S363TC,TC,S363,,field,363,Montipora_capitata
S364bT1,T1,S364,yes,field,364,Montipora_capitata
S364TC,TC,S364,,field,364,Montipora_capitata
S364TF,TF,S364,,field,364,Montipora_capitata
S365TC,TC,S365,,field,365,Montipora_capitata
S366TC,TC,S366,,field,366,Montipora_capitata
S366TF,TF,S366,,field,366,Montipora_capitata
S367TC,TC,S367,,field,367,Montipora_capitata
S368T1,T1,S368,,field,368,Montipora_capitata
S368TC,TC,S368,,field,368,Montipora_capitata
S368TF,TF,S368,,field,368,Montipora_capitata
S369TF,TF,S369,,field,369,Montipora_capitata
S370TC,TC,S370,,field,370,Montipora_capitata
S370TF,TF,S370,,field,370,Montipora_capitata
S371TC,TC,S371,,field,371,Montipora_capitata
S372T1,T1,S372,,field,372,Montipora_capitata
S372TC,TC,S372,,field,372,Montipora_capitata
S373T1,T1,S373,,field,373,Montipora_capitata
S373TC,TC,S373,,field,373,Montipora_capitata
S374bT1,T1,S374,yes,field,374,Montipora_capitata
S374TC,TC,S374,,field,374,Montipora_capitata
S374TF,TF,S374,,field,374,Montipora_capitata
SAT1,T1,SAT1,,field,AT1,Test1
SBT1,T1,SBT1,,field,BT1,Test2